,const,nn1,nn2,nn3,parts1,parts2,parts3,sm1,sm2,sm3,cat1,cat2,cat3,fft_high1,fft_high2,fft_high3,fft_low1,fft_low2,fft_low3,next1,next2
0,1.0,0.03771547144488047,-0.1591675907622351,-0.017950279877211033,0.010394259853506787,0.07745883204173959,-0.012127091252084712,0.08128061637617877,0.07295909550898833,-0.10391744836042598,-0.15309310892394848,-5.7376469803205154e-18,-2.1684972469835583e-18,0.0576152014595531,0.09759745185537291,-0.06193979807269751,0.09195767225969011,0.059672532116341936,0.05087688648745301,-0.3618822991847992,-0.11104035377502441
1,1.0,-0.03728274186768188,0.05700670181520284,-0.04344356009798961,0.04588655642485312,0.08435599886756029,0.08114643086964009,-0.08612147329151376,0.11360411924399794,0.05201834482337238,-0.15309310892394834,8.045930060424878e-16,-3.900322519040513e-16,-0.10101433754854094,0.0943581832058587,0.007201321374016273,0.06782273677718398,-0.19478206604945214,-0.1053063032354725,-0.37031030654907227,-0.15151673555374146
2,1.0,0.03201983726037094,-0.06834446730019816,-0.1492096335349524,0.058930843621280316,0.01932453818951245,-0.1435897301823242,0.12051402653755522,-0.015166664915392869,0.07126565040856098,-0.15309310892394823,-1.5543122344752192e-15,-4.3263579307542397e-16,-0.06160648021582882,0.09616967173916224,0.05169905329987076,0.09348210283697911,-0.02557052690307382,-0.03860157494871716,-0.4441835582256317,-0.10748548805713654
3,1.0,0.06656899795754423,-0.09068434299363481,0.0826397260577272,0.058184369024474936,0.13777603561779644,0.07324493975133906,0.12307590715357972,-0.025481095382060587,0.09637565233338197,-0.15309310892394823,1.0295902237480085e-16,-2.636779683484747e-16,0.06294223104055657,0.13338902495702998,-0.07847459263485257,0.0944103968872456,0.03166108742483448,-0.03705176630273749,-0.45270559191703796,-0.14294159412384033
4,1.0,0.04049548843582283,-0.11970889537924892,0.04843668906982024,0.06301352845387664,0.11456836296186779,0.09221014002571082,0.046310594952759396,0.1088250586095283,-0.06142086182493853,-0.15309310892394823,1.0295902237480097e-16,0.0,0.006642491012634012,0.12032140982535655,-0.05854810379052766,0.08244483265974065,-0.00018554396689861308,-0.005385280180419005,-0.31923168897628784,-0.11947385966777802
5,1.0,0.10016249370236763,-0.13323715400013386,0.03748367602258418,0.0512145515763587,0.11083656524146927,-0.04038026636924741,0.1187919831884918,-0.009043082288291189,0.055796496036903204,-0.15309310892394823,1.0295902237480097e-16,-6.828553311075635e-17,0.09097824061137254,0.09706994414736947,-0.09579055456592372,0.0923485889935678,0.05735365001566769,0.0969411823142714,-0.42968013882637024,-0.13310249149799347
6,1.0,0.13221349300477866,-0.10920706119433421,-0.017152534486682913,0.05186835053145913,0.07315324870673572,0.004155825328912677,0.12195233376418155,-0.020624922508319307,0.08483784550377674,-0.15309310892394823,1.0295902237480097e-16,-6.828553311075635e-17,-0.08070365361672222,0.1285552051579691,-0.03283599548054761,0.09666749137731233,-0.05407844491657733,0.003490105503770713,-0.39429566264152527,-0.11174261569976807
7,1.0,-0.08872470705575916,-0.09293336510716306,0.1000807360670418,-0.006717872867275432,0.014818353520453378,-0.24863916375618533,0.12511384896391023,-0.03576995448329695,0.11906715194827237,-0.15309310892394823,1.0295902237480097e-16,-6.828553311075635e-17,-0.04344808984933647,0.03563023754332753,0.06909506350057693,0.09284064374937406,-0.03552493308442949,0.07356226960433465,-0.3792475759983063,-0.13335923850536346
8,1.0,-0.013340706617260807,-0.12732290966635942,-0.019633982728624193,0.02965594042644858,-0.00806092927578953,-0.25187638429972165,0.12560192354852798,-0.039508889750611294,0.12555915089056355,-0.15309310892394823,1.0295902237480097e-16,-6.828553311075635e-17,-0.04561021562651343,0.1430158618744184,-0.07542713495616296,0.1007976667708661,-0.02809625258229667,0.012004549663430758,-0.4454786777496338,-0.1849517822265625
9,1.0,-0.003933714669390724,-0.13518280263619065,-0.02919066706642004,0.046343988910697645,0.13241977935401852,0.049333933480718496,0.11593091143633362,0.00022502353474277014,0.03216989020981276,-0.15309310892394823,1.0295902237480097e-16,-6.828553311075635e-17,0.08697483897630921,0.06816658088561302,-0.11489606761146536,0.09454557558293566,0.05450401084421667,0.08607610753409684,-0.40851452946662903,-0.14405301213264465
