head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time
10,42,25,25,Validation,0,9e2b9d0501f064f7,0.4070000648498535,0.40199995040893555,1644975604.713,42,<img src='/static/targets/3-6-1.png' />,<img src='/static/targets/2-5-2.png' />,<img src='/static/targets/1-6-1.png' />,<img src='/static/targets/2-5-2.png' />,<img src='/static/targets/3-6-1.png' />,3-6-1.png,2-5-2.png,1-6-1.png,2-5-2.png,3-6-1.png,13293.414375543594,2022-02-16T01:40:04.713000,1644962311.2986245
30,55,62,62,Random,-9999,8a6025b237d138e4,1.8250000476837158,0.19099998474121094,1644975605.244,55,<img src='/static/targets/4-4-2.png' />,<img src='/static/targets/4-8-1.png' />,<img src='/static/targets/2-8-1.png' />,<img src='/static/targets/4-8-1.png' />,<img src='/static/targets/4-4-2.png' />,4-4-2.png,4-8-1.png,2-8-1.png,4-8-1.png,4-4-2.png,13293.945375442505,2022-02-16T01:40:05.244000,1644962311.2986245
53,48,63,63,Random,-9999,9e2b9d0501f064f7,0.505000114440918,0.3989999294281006,1644975605.624,48,<img src='/static/targets/4-1-1.png' />,<img src='/static/targets/4-8-2.png' />,<img src='/static/targets/4-3-2.png' />,<img src='/static/targets/4-8-2.png' />,<img src='/static/targets/4-1-1.png' />,4-1-1.png,4-8-2.png,4-3-2.png,4-8-2.png,4-1-1.png,13294.325375556946,2022-02-16T01:40:05.624000,1644962311.2986245
54,19,36,36,Random,-9999,af1e0a9151a8c1b9,1.8869998455047607,0.2370002269744873,1644975605.879,19,<img src='/static/targets/2-2-2.png' />,<img src='/static/targets/3-3-1.png' />,<img src='/static/targets/4-4-1.png' />,<img src='/static/targets/3-3-1.png' />,<img src='/static/targets/2-2-2.png' />,2-2-2.png,3-3-1.png,4-4-1.png,3-3-1.png,2-2-2.png,13294.580375432968,2022-02-16T01:40:05.879000,1644962311.2986245
12,1,35,35,Random,-9999,b50cfd9a05b909d2,4.371000051498413,0.47299981117248535,1644975606.12,1,<img src='/static/targets/1-1-2.png' />,<img src='/static/targets/3-2-2.png' />,<img src='/static/targets/1-7-1.png' />,<img src='/static/targets/3-2-2.png' />,<img src='/static/targets/1-1-2.png' />,1-1-2.png,3-2-2.png,1-7-1.png,3-2-2.png,1-1-2.png,13294.821375370026,2022-02-16T01:40:06.120000,1644962311.2986245
58,22,40,40,Random,-9999,9e2b9d0501f064f7,0.4159998893737793,0.4089999198913574,1644975606.542,22,<img src='/static/targets/2-4-1.png' />,<img src='/static/targets/3-5-1.png' />,<img src='/static/targets/4-6-1.png' />,<img src='/static/targets/3-5-1.png' />,<img src='/static/targets/2-4-1.png' />,2-4-1.png,3-5-1.png,4-6-1.png,3-5-1.png,2-4-1.png,13295.24337553978,2022-02-16T01:40:06.542000,1644962311.2986245
17,49,19,19,Random,-9999,8a6025b237d138e4,1.2009999752044678,0.10500001907348633,1644975606.548,49,<img src='/static/targets/4-1-2.png' />,<img src='/static/targets/2-2-2.png' />,<img src='/static/targets/2-1-2.png' />,<img src='/static/targets/2-2-2.png' />,<img src='/static/targets/4-1-2.png' />,4-1-2.png,2-2-2.png,2-1-2.png,2-2-2.png,4-1-2.png,13295.249375581741,2022-02-16T01:40:06.548000,1644962311.2986245
35,20,39,39,Random,-9999,b6e795645db9fb25,3.6490001678466797,0.2070000171661377,1644975607.09,20,<img src='/static/targets/2-3-1.png' />,<img src='/static/targets/3-4-2.png' />,<img src='/static/targets/3-2-2.png' />,<img src='/static/targets/3-4-2.png' />,<img src='/static/targets/2-3-1.png' />,2-3-1.png,3-4-2.png,3-2-2.png,3-4-2.png,2-3-1.png,13295.791375398636,2022-02-16T01:40:07.090000,1644962311.2986245
42,20,25,20,Random,-9999,9e2b9d0501f064f7,0.3410000801086426,0.5239999294281006,1644975607.313,25,<img src='/static/targets/2-3-1.png' />,<img src='/static/targets/2-5-2.png' />,<img src='/static/targets/3-6-1.png' />,<img src='/static/targets/2-3-1.png' />,<img src='/static/targets/2-5-2.png' />,2-3-1.png,2-5-2.png,3-6-1.png,2-3-1.png,2-5-2.png,13296.014375448227,2022-02-16T01:40:07.313000,1644962311.2986245
9,19,48,19,Random,-9999,af1e0a9151a8c1b9,1.7739999294281006,0.317000150680542,1644975607.775,48,<img src='/static/targets/2-2-2.png' />,<img src='/static/targets/4-1-1.png' />,<img src='/static/targets/1-5-2.png' />,<img src='/static/targets/2-2-2.png' />,<img src='/static/targets/4-1-1.png' />,2-2-2.png,4-1-1.png,1-5-2.png,2-2-2.png,4-1-1.png,13296.476375579834,2022-02-16T01:40:07.775000,1644962311.2986245
